Venue Category,Category Group
Track,Sports/Fitness
Wine Shop,Bar/Pub/Lounge
Bus Station,Transportation
College Rec Center,Sports/Fitness
Tennis Court,Sports/Fitness
Cheese Shop,Specialty Food
Stationery Store,Specialty Store
Mac & Cheese Joint,Food/Restaurant
Gym Pool,Sports/Fitness
Waterfall,Outdoor
Fair,Tourism
Theme Park Ride / Attraction,Tourism
Theme Park,Tourism
Persian Restaurant,Food/Restaurant
Falafel Restaurant,Food/Restaurant
Hot Dog Joint,Food/Restaurant
Motorcycle Shop,Specialty Store
Southern / Soul Food Restaurant,Food/Restaurant
Cajun / Creole Restaurant,Food/Restaurant
Thrift / Vintage Store,Specialty Store
Candy Store,Specialty Food
Recreation Center,Sports/Fitness
Kebab Restaurant,Food/Restaurant
Soup Place,Food/Restaurant
Smoothie Shop,Coffee/Tea
Science Museum,Historic/Museum
Pie Shop,Food/Restaurant
Noodle House,Food/Restaurant
Heliport,Transportation
Ski Chairlift,Sports/Fitness
Shanghai Restaurant,Food/Restaurant
Molecular Gastronomy Restaurant,Food/Restaurant
Kitchen Supply Store,Specialty Store
Malay Restaurant,Food/Restaurant
Tiki Bar,Bar/Pub/Lounge
National Park,Outdoor
Department Store,General Shopping
Outdoor Supply Store,Specialty Store
Mountain,Outdoor
Filipino Restaurant,Food/Restaurant
Cantonese Restaurant,Food/Restaurant
Food Court,Food/Restaurant
Curling Ice,Sports/Fitness
Kids Store,Specialty Store
Airport Service,Transportation
Airport,Transportation
Office,Office/Business
Hotpot Restaurant,Food/Restaurant
Water Park,Tourism
Surf Spot,Sports/Fitness
Discount Store,General Shopping
Tree,Outdoor
Boat or Ferry,Transportation
History Museum,Historic/Museum
General Travel,Service
Ski Area,Sports/Fitness
Ski Lodge,Hotel/Accommodation
Forest,Outdoor
Bus Stop,Transportation
Hardware Store,Specialty Store
Scandinavian Restaurant,Food/Restaurant
Swiss Restaurant,Food/Restaurant
Irish Pub,Bar/Pub/Lounge
Multiplex,Entertainment
Automotive Shop,Service
Gas Station,Transportation
Travel Lounge,Transportation
Big Box Store,General Shopping
Business Service,Service
Light Rail Station,Transportation
Train,Transportation
Arcade,Entertainment
Construction & Landscaping,Service
Buffet,Food/Restaurant
Canal Lock,Transportation
Bowling Alley,Entertainment
Hookah Bar,Entertainment
Airport Lounge,Transportation
Airport Terminal,Transportation
Plane,Transportation
Football Stadium,Sports/Fitness
Comfort Food Restaurant,Food/Restaurant
Fish Market,Specialty Store
English Restaurant,Food/Restaurant
Mini Golf,Entertainment
Camera Store,Specialty Store
Video Game Store,Specialty Store
Art Museum,Historic/Museum
Memorial Site,Historic/Museum
Jazz Club,Entertainment
Outlet Mall,General Shopping
Campground,Outdoor
Library,Library
Indie Theater,Entertainment
Zoo,Tourism
Afghan Restaurant,Food/Restaurant
Road,Community
Home Service,Service
